,Referee,B365H,B365D,B365A,HICT,AICT,DifICT,Result
60,K Friend,1.85,3.6,4.33,7743.099999999999,7497.700000000001,245.39999999999873,1.0
61,S Hooper,1.7,4.0,4.75,7768.6,7648.5,120.10000000000036,2.0
62,M Oliver,1.45,4.33,7.5,8636.0,8063.700000000001,572.2999999999993,1.0
63,M Atkinson,1.36,4.75,9.0,8442.0,7761.099999999999,680.9000000000005,2.0
64,G Scott,1.61,4.2,5.25,7964.7,7730.8,233.89999999999964,2.0
65,J Moss,3.0,3.25,2.4,7758.9,8034.6,-275.7000000000007,1.0
66,P Tierney,2.87,3.5,2.4,8669.3,8703.3,-34.0,1.0
67,P Bankes,1.75,3.75,4.75,8098.2,7425.9,672.3000000000002,0.0
68,C Kavanagh,2.1,3.6,3.4,8344.1,7937.9,406.2000000000007,2.0
69,A Taylor,3.1,3.4,2.3,7731.099999999999,8127.0,-395.90000000000055,1.0
70,C Pawson,3.5,3.6,2.05,8168.0,8581.4,-413.39999999999964,2.0
71,M Oliver,2.15,3.25,3.5,7937.0,7955.499999999999,-18.49999999999909,0.0
72,P Bankes,3.6,3.4,2.1,7548.599999999999,7734.000000000001,-185.40000000000146,1.0
73,A Taylor,6.5,3.8,1.57,7428.4,8524.6,-1096.2000000000007,0.0
74,M Atkinson,1.12,9.0,19.0,8745.800000000001,7731.2,1014.6000000000013,2.0
75,D Coote,2.3,3.5,3.0,7729.5,7754.7,-25.199999999999818,2.0
76,J Moss,8.5,5.5,1.33,7635.9,8656.1,-1020.2000000000007,0.0
77,A Marriner,3.5,3.6,2.05,7774.2,8312.999999999998,-538.7999999999984,0.0
78,S Attwell,2.5,3.4,2.8,8082.700000000001,8091.1,-8.399999999999636,0.0
79,M Dean,1.6,3.8,6.0,8092.2,7729.1,363.09999999999945,1.0
80,C Pawson,1.83,3.75,4.2,8152.599999999999,7989.5,163.09999999999945,2.0
81,D England,1.9,3.6,4.0,7792.599999999999,7766.1,26.49999999999909,1.0
82,G Scott,1.65,3.8,5.5,8134.900000000001,7675.2,459.7000000000007,0.0
83,K Friend,8.0,4.75,1.4,7818.599999999999,8756.8,-938.1999999999998,0.0
84,R Jones,2.4,3.4,2.87,7820.8,8007.899999999999,-187.09999999999854,1.0
85,A Madley,1.18,7.0,15.0,8522.0,7545.000000000001,976.9999999999991,2.0
86,C Kavanagh,1.95,3.5,3.9,7779.7,7762.0,17.699999999999818,1.0
87,P Tierney,2.3,3.5,3.0,8161.4,8380.399999999998,-218.99999999999818,2.0
88,A Taylor,3.1,3.6,2.2,8694.9,8745.6,-50.70000000000073,0.0
89,S Hooper,2.62,3.3,2.7,7483.099999999999,8171.6,-688.5000000000009,0.0
90,S Attwell,2.87,3.6,2.37,8407.6,8645.199999999999,-237.59999999999854,0.0
91,P Bankes,3.2,3.3,2.3,7667.5,7793.999999999999,-126.49999999999909,0.0
92,P Tierney,8.5,5.0,1.36,7812.099999999999,8566.300000000001,-754.2000000000016,0.0
93,M Oliver,2.4,3.5,2.87,8250.3,8066.200000000001,184.09999999999854,0.0
94,M Dean,1.22,6.5,13.0,8716.3,7786.600000000001,929.699999999998,1.0
95,J Moss,2.6,3.3,2.75,7800.499999999999,7477.0,323.4999999999991,2.0
96,A Marriner,1.14,8.0,19.0,8813.7,7774.0,1039.7000000000007,0.0
97,C Kavanagh,2.8,3.5,2.45,7989.7,8155.8,-166.10000000000036,0.0
98,A Taylor,3.4,3.5,2.1,7590.9,7777.099999999999,-186.19999999999982,0.0
99,M Atkinson,2.2,3.2,3.5,8011.099999999999,8113.900000000001,-102.80000000000109,2.0
100,A Madley,1.95,3.6,3.75,7842.599999999999,8036.1,-193.5000000000009,2.0
101,A Marriner,1.25,6.0,12.0,8617.9,7804.7,813.1999999999998,1.0
102,D Coote,1.57,3.9,6.0,7866.999999999999,7803.6,63.39999999999873,1.0
103,J Gillett,1.6,4.0,5.75,7541.7,7562.500000000001,-20.80000000000109,0.0
104,M Oliver,4.75,4.0,1.7,8741.8,8856.9,-115.10000000000036,0.0
105,G Scott,2.45,3.2,3.0,7851.4,8043.199999999999,-191.79999999999927,2.0
106,D England,2.8,3.5,2.45,7882.400000000001,8221.2,-338.8000000000002,1.0
107,C Pawson,4.75,4.0,1.7,8215.8,8838.6,-622.8000000000011,2.0
108,K Friend,1.36,4.75,8.5,8232.9,7758.0,474.89999999999964,2.0
109,C Kavanagh,3.1,3.25,2.37,8203.2,8419.799999999997,-216.59999999999673,1.0
110,M Atkinson,3.6,3.5,2.05,7630.599999999999,7847.199999999999,-216.59999999999945,2.0
111,P Tierney,4.75,3.75,1.75,8307.5,8633.6,-326.10000000000036,0.0
112,M Oliver,1.45,4.75,6.5,8776.699999999999,8119.200000000001,657.4999999999982,2.0
113,A Taylor,2.45,3.3,2.9,8031.0,7839.100000000001,191.89999999999873,2.0
114,J Moss,6.5,4.75,1.45,7700.1,8703.699999999999,-1003.5999999999985,2.0
115,S Hooper,2.7,3.2,2.7,7857.299999999999,7819.1,38.19999999999891,1.0
116,R Jones,2.62,3.4,2.7,7837.599999999999,7517.0,320.59999999999945,1.0
117,M Dean,3.0,3.25,2.4,8060.999999999999,8237.6,-176.60000000000127,2.0
118,A Marriner,1.7,4.2,4.5,8440.800000000001,7833.999999999999,606.800000000002,2.0
119,S Attwell,1.14,8.0,19.0,8868.2,8169.1,699.1000000000004,2.0
120,A Marriner,1.28,6.0,9.0,8864.3,7912.799999999999,951.5,2.0
121,M Salisbury,2.2,3.4,3.3,7909.799999999999,8080.3,-170.5000000000009,0.0
122,C Pawson,2.05,3.4,3.75,7919.299999999999,7893.999999999999,25.300000000000182,1.0
123,S Attwell,1.44,4.75,7.0,8284.1,7833.8,450.3000000000002,2.0
124,S Hooper,3.5,3.3,2.15,7680.2,8071.199999999999,-390.9999999999991,1.0
125,A Taylor,1.57,4.0,6.0,8703.0,8751.499999999998,-48.49999999999818,1.0
126,A Madley,1.61,4.0,5.5,8329.7,7792.9,536.8000000000011,2.0
127,M Oliver,1.28,5.75,10.0,8938.300000000001,8272.300000000001,666.0,2.0
128,D England,2.25,3.2,3.4,7620.7,8196.4,-575.6999999999998,2.0
129,K Friend,2.4,3.3,3.0,7932.1,7893.200000000001,38.899999999999636,2.0
130,A Madley,1.95,3.5,3.9,7921.099999999999,7608.600000000001,312.4999999999982,1.0
131,J Brooks,1.85,3.5,4.33,8117.299999999999,7843.099999999999,274.1999999999998,1.0
132,C Kavanagh,1.95,3.6,3.8,8262.8,7874.4000000000015,388.3999999999978,1.0
133,R Jones,2.37,3.5,2.87,7885.7,8262.1,-376.40000000000055,1.0
134,D Coote,10.0,5.25,1.3,7779.400000000001,8699.2,-919.8000000000002,0.0
135,P Tierney,7.5,5.25,1.36,8246.800000000001,8910.5,-663.6999999999989,0.0
136,M Dean,9.0,5.25,1.33,8080.3,8920.1,-839.8000000000002,0.0
137,J Moss,1.6,4.2,5.25,8500.800000000001,7568.8,932.0000000000009,2.0
138,M Atkinson,1.95,3.75,3.75,8765.0,8152.400000000001,612.5999999999995,2.0
139,C Kavanagh,8.0,4.75,1.4,8168.599999999999,8982.1,-813.5000000000009,0.0
140,P Tierney,2.3,3.3,3.2,7953.499999999999,7874.099999999999,79.39999999999964,2.0
141,A Taylor,2.45,3.2,3.0,7951.4,7922.300000000001,29.099999999998545,1.0
142,S Hooper,12.0,7.0,1.2,7828.6,8987.300000000001,-1158.7000000000007,0.0
143,A Marriner,4.75,3.6,1.75,8311.699999999999,8747.7,-436.0000000000018,2.0
144,M Oliver,2.37,3.4,3.0,8129.2,8315.6,-186.40000000000055,2.0
145,C Pawson,1.5,4.33,6.5,8833.5,7927.6,905.8999999999996,2.0
146,J Gillett,1.36,5.0,8.5,8553.800000000001,7667.700000000002,886.0999999999995,2.0
147,D Coote,1.95,3.6,3.8,7982.3,7598.900000000001,383.39999999999964,1.0
148,M Dean,3.4,3.5,2.1,8281.500000000002,8217.2,64.30000000000109,2.0
149,M Oliver,2.25,3.3,3.3,7653.5,7850.0,-196.5,2.0
150,D England,7.0,4.5,1.45,7727.7,8780.199999999999,-1052.499999999999,0.0
151,C Kavanagh,1.25,5.75,12.0,8768.4,7931.999999999999,836.4000000000005,2.0
152,J Gillett,1.61,4.0,5.5,8363.9,7950.799999999999,413.10000000000036,2.0
153,S Attwell,1.2,7.0,13.0,8950.3,8125.8,824.4999999999991,2.0
154,J Moss,1.14,8.0,19.0,9011.300000000001,8101.899999999999,909.4000000000024,2.0
155,A Madley,2.3,3.2,3.3,7953.999999999999,8254.8,-300.8000000000002,2.0
156,P Bankes,1.66,4.1,4.75,8412.7,7868.0,544.7000000000007,2.0
157,G Scott,3.6,3.6,2.0,7921.699999999999,8305.6,-383.90000000000146,1.0
158,D Coote,3.3,3.3,2.25,7779.2,8154.7,-375.5,0.0
159,P Tierney,1.14,8.5,15.0,9096.800000000001,7983.099999999999,1113.7000000000016,2.0
160,A Taylor,2.1,3.6,3.3,8434.9,8357.300000000001,77.59999999999854,2.0
161,T Harrington,2.25,3.1,3.5,7972.999999999999,8130.5999999999985,-157.59999999999945,0.0
162,S Hooper,2.15,3.3,3.5,8026.099999999999,7986.199999999999,39.900000000000546,1.0
163,M Dean,1.12,9.0,19.0,9024.599999999999,7913.1,1111.4999999999982,2.0
164,M Oliver,1.22,6.5,13.0,8829.6,8301.8,527.8000000000011,1.0
165,A Marriner,3.9,3.8,1.83,8045.5,8266.400000000001,-220.90000000000146,0.0
166,M Atkinson,13.0,7.5,1.18,8012.199999999999,9095.2,-1083.0000000000018,0.0
167,P Tierney,5.25,4.75,1.53,8614.7,9045.9,-431.1999999999989,1.0
168,D Coote,7.0,4.2,1.5,8194.3,8821.800000000001,-627.5000000000018,1.0
